Team,PS/G,PA/G,WIN
Golden State Warriors,110,99.9,67
Los Angeles Clippers,106.7,100.1,56
Dallas Mavericks,105.2,102.3,50
Oklahoma City Thunder,104,101.8,45
Toronto Raptors,104,100.9,49
Houston Rockets,103.9,100.5,56
San Antonio Spurs,103.2,97,55
Cleveland Cavaliers,103.1,98.7,53
Portland Trail Blazers,102.8,98.6,51
Atlanta Hawks,102.5,97.1,60
Phoenix Suns,102.4,103.3,39
Denver Nuggets,101.5,105,30
Boston Celtics,101.4,101.2,40
Sacramento Kings,101.3,105,29
Chicago Bulls,100.8,97.8,50
New Orleans Pelicans,99.4,98.6,45
Los Angeles Lakers,98.5,105.3,21
Washington Wizards,98.5,97.8,46
Detroit Pistons,98.5,99.5,32
Memphis Grizzlies,98.3,95.1,55
Brooklyn Nets,98,100.9,38
Milwaukee Bucks,97.8,97.4,41
Minnesota Timberwolves,97.8,106.5,16
Indiana Pacers,97.3,97,38
Orlando Magic,95.7,101.4,25
Utah Jazz,95.1,94.9,38
Miami Heat,94.7,97.3,37
Charlotte Hornets,94.2,97.3,33
Philadelphia 76ers,92,101,18
New York Knicks,91.9,101.2,17
